"ISCED11";"UNIT";"AGE";"SEX";"GEO";"FREQ";"obsTime";"obsValue";"OBS_FLAG";"OBS_STATUS"
"ED5-8";"PC";"Y30-34";"T";"DE2";"A";"2006";27,6;NA;NA
"ED5-8";"PC";"Y30-34";"T";"DE2";"A";"2005";27,8;"b";NA
"ED5-8";"PC";"Y30-34";"T";"DE2";"A";"2004";28,5;NA;NA
"ED5-8";"PC";"Y30-34";"T";"DE2";"A";"2003";26,3;NA;NA
"ED5-8";"PC";"Y30-34";"T";"DE2";"A";"2002";24,9;NA;NA
"ED5-8";"PC";"Y30-34";"T";"DE2";"A";"2001";26;NA;NA
"ED5-8";"PC";"Y30-34";"T";"DE2";"A";"2000";26,9;NA;NA
"ED5-8";"PC";"Y30-34";"T";"EU27";"A";"2015";38,8;NA;NA
"ED5-8";"PC";"Y30-34";"T";"EU27";"A";"2014";38;"b";NA
"ED5-8";"PC";"Y30-34";"T";"EU27";"A";"2013";37,2;NA;NA
"ED5-8";"PC";"Y30-34";"T";"EU27";"A";"2012";36,1;NA;NA
"ED5-8";"PC";"Y30-34";"T";"EU27";"A";"2011";34,9;NA;NA
"ED5-8";"PC";"Y30-34";"T";"EU27";"A";"2010";33,8;NA;NA
"ED5-8";"PC";"Y30-34";"T";"EU27";"A";"2009";32,4;NA;NA
"ED5-8";"PC";"Y30-34";"T";"EU27";"A";"2008";31,3;NA;NA
"ED5-8";"PC";"Y30-34";"T";"EU27";"A";"2007";30,2;NA;NA
"ED5-8";"PC";"Y30-34";"T";"EU27";"A";"2006";29;NA;NA
"ED5-8";"PC";"Y30-34";"T";"EU27";"A";"2005";28,2;NA;NA
"ED5-8";"PC";"Y30-34";"T";"EU27";"A";"2004";27;NA;NA
"ED5-8";"PC";"Y30-34";"T";"EU27";"A";"2003";25,1;NA;NA
"ED5-8";"PC";"Y30-34";"T";"EU27";"A";"2002";23,6;NA;NA
"ED5-8";"PC";"Y30-34";"T";"EU27";"A";"2001";22,8;NA;NA
"ED5-8";"PC";"Y30-34";"T";"EU27";"A";"2000";22,4;NA;NA
"ED5-8";"PC";"Y30-34";"T";"EU28";"A";"2015";38,7;NA;NA
"ED5-8";"PC";"Y30-34";"T";"EU28";"A";"2014";37,9;"b";NA
"ED5-8";"PC";"Y30-34";"T";"EU28";"A";"2013";37,1;NA;NA
