"UNIT";"AGE";"SEX";"GEO";"FREQ";"obsTime";"obsValue";"OBS_FLAG";"OBS_STATUS"
"PC";"Y15-64";"T";"DE2";"A";"2007";76,9;NA;NA
"PC";"Y15-64";"T";"DE2";"A";"2006";76,8;NA;NA
"PC";"Y15-64";"T";"DE2";"A";"2005";75,6;"b";NA
"PC";"Y15-64";"T";"DE2";"A";"2004";74,6;NA;NA
"PC";"Y15-64";"T";"DE2";"A";"2003";74,4;NA;NA
"PC";"Y15-64";"T";"DE2";"A";"2002";74,1;NA;NA
"PC";"Y15-64";"T";"DE2";"A";"2001";74,2;NA;NA
"PC";"Y15-64";"T";"DE2";"A";"2000";73,3;NA;NA
"PC";"Y15-64";"T";"DE2";"A";"1999";73,9;NA;NA
"PC";"Y15-64";"T";"EU27";"A";"2015";72,6;NA;NA
"PC";"Y15-64";"T";"EU27";"A";"2014";72,3;NA;NA
"PC";"Y15-64";"T";"EU27";"A";"2013";72;NA;NA
"PC";"Y15-64";"T";"EU27";"A";"2012";71,7;NA;NA
"PC";"Y15-64";"T";"EU27";"A";"2011";71,1;NA;NA
"PC";"Y15-64";"T";"EU27";"A";"2010";71;NA;NA
"PC";"Y15-64";"T";"EU27";"A";"2009";70,8;NA;NA
"PC";"Y15-64";"T";"EU27";"A";"2008";70,7;NA;NA
"PC";"Y15-64";"T";"EU27";"A";"2007";70,3;NA;NA
"PC";"Y15-64";"T";"EU27";"A";"2006";70,1;NA;NA
"PC";"Y15-64";"T";"EU27";"A";"2005";69,7;"b";NA
"PC";"Y15-64";"T";"EU27";"A";"2004";69,2;NA;NA
"PC";"Y15-64";"T";"EU27";"A";"2003";68,9;NA;NA
"PC";"Y15-64";"T";"EU27";"A";"2002";68,6;NA;NA
"PC";"Y15-64";"T";"EU27";"A";"2001";68,5;NA;NA
"PC";"Y15-64";"T";"EU27";"A";"2000";68,5;NA;NA
"PC";"Y15-64";"T";"EU27";"A";"1999";NA;NA;"na"
"PC";"Y15-64";"T";"EU28";"A";"2015";72,5;NA;NA
"PC";"Y15-64";"T";"EU28";"A";"2014";72,3;NA;NA
"PC";"Y15-64";"T";"EU28";"A";"2013";71,9;NA;NA
"PC";"Y15-64";"T";"EU28";"A";"2012";71,6;NA;NA
"PC";"Y15-64";"T";"EU28";"A";"2011";71,1;NA;NA
"PC";"Y15-64";"T";"EU28";"A";"2010";70,9;NA;NA
"PC";"Y15-64";"T";"EU28";"A";"2009";70,8;NA;NA
"PC";"Y15-64";"T";"EU28";"A";"2008";70,7;NA;NA
"PC";"Y15-64";"T";"EU28";"A";"2007";70,3;NA;NA
"PC";"Y15-64";"T";"EU28";"A";"2006";70,1;NA;NA
"PC";"Y15-64";"T";"EU28";"A";"2005";69,6;"b";NA
"PC";"Y15-64";"T";"EU28";"A";"2004";69,1;NA;NA
"PC";"Y15-64";"T";"EU28";"A";"2003";68,9;NA;NA
