id;descriz;stato;wiki
ITH2;Trentino;Italy;
ITH1;Alto-Adige;Italy;
ITC4;Lombardia;Italy;
ITH3;Veneto;Italy;
AT34;Voralberg;Austria;
AT33;Tirolo;Austria;
AT32;Salisburgo;Austria;
DE2;Baviera;Austria;
ITH;Nord-Est;Italy;
IT;Italia;Italy;
EU27;Europe-27;Europe;
EU28;Europe-28;Europe;
EFTA;Euro Area;Europe;
CH07;Ticino;Switzerland;
