"CURRENCY";"NACE_R2";"GEO";"FREQ";"obsTime";"obsValue"
"MIO_EUR";"TOTAL";"ITH1";"A";"2013";8105,7
"MIO_EUR";"TOTAL";"ITH1";"A";"2012";8128,9
"MIO_EUR";"TOTAL";"ITH1";"A";"2011";8049
"MIO_EUR";"TOTAL";"ITH1";"A";"2010";7758,96
"MIO_EUR";"TOTAL";"ITH1";"A";"2009";7480,64
"MIO_EUR";"TOTAL";"ITH1";"A";"2008";7282,57
"MIO_EUR";"TOTAL";"ITH1";"A";"2007";6979,67
"MIO_EUR";"TOTAL";"ITH1";"A";"2006";6662,43
"MIO_EUR";"TOTAL";"ITH1";"A";"2005";6378,16
"MIO_EUR";"TOTAL";"ITH1";"A";"2004";6195,75
"MIO_EUR";"TOTAL";"ITH1";"A";"2003";5893,83
"MIO_EUR";"TOTAL";"ITH1";"A";"2002";5751,26
"MIO_EUR";"TOTAL";"ITH1";"A";"2001";5504,6
"MIO_EUR";"TOTAL";"ITH1";"A";"2000";5321,25
"MIO_EUR";"TOTAL";"ITH2";"A";"2013";6928,5
"MIO_EUR";"TOTAL";"ITH2";"A";"2012";6977
"MIO_EUR";"TOTAL";"ITH2";"A";"2011";7114
"MIO_EUR";"TOTAL";"ITH2";"A";"2010";6814,63
"MIO_EUR";"TOTAL";"ITH2";"A";"2009";6680,62
"MIO_EUR";"TOTAL";"ITH2";"A";"2008";6501,88
"MIO_EUR";"TOTAL";"ITH2";"A";"2007";6181,78
"MIO_EUR";"TOTAL";"ITH2";"A";"2006";6023,81
"MIO_EUR";"TOTAL";"ITH2";"A";"2005";5774,27
"MIO_EUR";"TOTAL";"ITH2";"A";"2004";5638,11
"MIO_EUR";"TOTAL";"ITH2";"A";"2003";5361,12
"MIO_EUR";"TOTAL";"ITH2";"A";"2002";5135,94
"MIO_EUR";"TOTAL";"ITH2";"A";"2001";4887,22
"MIO_EUR";"TOTAL";"ITH2";"A";"2000";4684,27
"MIO_EUR";"TOTAL";"ITH3";"A";"2013";57863,4
"MIO_EUR";"TOTAL";"ITH3";"A";"2012";58286,3
"MIO_EUR";"TOTAL";"ITH3";"A";"2011";58808,4
"MIO_EUR";"TOTAL";"ITH3";"A";"2010";56912,71
"MIO_EUR";"TOTAL";"ITH3";"A";"2009";56756,3
"MIO_EUR";"TOTAL";"ITH3";"A";"2008";57191,04
"MIO_EUR";"TOTAL";"ITH3";"A";"2007";53757,84
"MIO_EUR";"TOTAL";"ITH3";"A";"2006";51141,55
"MIO_EUR";"TOTAL";"ITH3";"A";"2005";49068,02
"MIO_EUR";"TOTAL";"ITH3";"A";"2004";47081,68
"MIO_EUR";"TOTAL";"ITH3";"A";"2003";45420,49
"MIO_EUR";"TOTAL";"ITH3";"A";"2002";43386,13
"MIO_EUR";"TOTAL";"ITH3";"A";"2001";42140,73
"MIO_EUR";"TOTAL";"ITH3";"A";"2000";40171,5
