"UNIT";"INDIC_IS";"GEO";"FREQ";"obsTime";"obsValue";"OBS_STATUS"
"PC_IND";"I_IUSE";"ITH1";"A";"2010";52;NA
"PC_IND";"I_IUSE";"ITH1";"A";"2009";49;NA
"PC_IND";"I_IUSE";"ITH1";"A";"2008";47;NA
"PC_IND";"I_IUSE";"ITH1";"A";"2007";43;NA
"PC_IND";"I_IUSE";"ITH1";"A";"2006";39;NA
"PC_IND";"I_IUSE";"ITH2";"A";"2015";72;NA
"PC_IND";"I_IUSE";"ITH2";"A";"2014";65;NA
"PC_IND";"I_IUSE";"ITH2";"A";"2013";59;NA
"PC_IND";"I_IUSE";"ITH2";"A";"2012";57;NA
"PC_IND";"I_IUSE";"ITH2";"A";"2011";58;NA
"PC_IND";"I_IUSE";"ITH2";"A";"2010";53;NA
"PC_IND";"I_IUSE";"ITH2";"A";"2009";50;NA
"PC_IND";"I_IUSE";"ITH2";"A";"2008";41;NA
"PC_IND";"I_IUSE";"ITH2";"A";"2007";38;NA
"PC_IND";"I_IUSE";"ITH2";"A";"2006";36;NA
"PC_IND";"I_IUSE";"ITH3";"A";"2015";68;NA
"PC_IND";"I_IUSE";"ITH3";"A";"2014";61;NA
"PC_IND";"I_IUSE";"ITH3";"A";"2013";61;NA
"PC_IND";"I_IUSE";"ITH3";"A";"2012";58;NA
"PC_IND";"I_IUSE";"ITH3";"A";"2011";54;NA
"PC_IND";"I_IUSE";"ITH3";"A";"2010";48;NA
"PC_IND";"I_IUSE";"ITH3";"A";"2009";43;NA
"PC_IND";"I_IUSE";"ITH3";"A";"2008";39;NA
"PC_IND";"I_IUSE";"ITH3";"A";"2007";35;NA
"PC_IND";"I_IUSE";"ITH3";"A";"2006";34;NA
