"UNIT";"AGE";"SEX";"GEO";"FREQ";"obsTime";"obsValue";"OBS_FLAG";"OBS_STATUS"
"PC";"Y15-64";"T";"DE2";"A";"2007";72,8;NA;NA
"PC";"Y15-64";"T";"DE2";"A";"2006";71,7;NA;NA
"PC";"Y15-64";"T";"DE2";"A";"2005";70,2;"b";NA
"PC";"Y15-64";"T";"DE2";"A";"2004";69,5;NA;NA
"PC";"Y15-64";"T";"DE2";"A";"2003";69,8;NA;NA
"PC";"Y15-64";"T";"DE2";"A";"2002";70,7;NA;NA
"PC";"Y15-64";"T";"DE2";"A";"2001";71,4;NA;NA
"PC";"Y15-64";"T";"DE2";"A";"2000";70,4;NA;NA
"PC";"Y15-64";"T";"DE2";"A";"1999";70,1;NA;NA
"PC";"Y15-64";"T";"EU27";"A";"2015";65,7;NA;NA
"PC";"Y15-64";"T";"EU27";"A";"2014";64,9;NA;NA
"PC";"Y15-64";"T";"EU27";"A";"2013";64,1;NA;NA
"PC";"Y15-64";"T";"EU27";"A";"2012";64,1;NA;NA
"PC";"Y15-64";"T";"EU27";"A";"2011";64,2;NA;NA
"PC";"Y15-64";"T";"EU27";"A";"2010";64,1;NA;NA
"PC";"Y15-64";"T";"EU27";"A";"2009";64,4;NA;NA
"PC";"Y15-64";"T";"EU27";"A";"2008";65,7;NA;NA
"PC";"Y15-64";"T";"EU27";"A";"2007";65,2;NA;NA
"PC";"Y15-64";"T";"EU27";"A";"2006";64,3;NA;NA
"PC";"Y15-64";"T";"EU27";"A";"2005";63,4;"b";NA
"PC";"Y15-64";"T";"EU27";"A";"2004";62,7;NA;NA
"PC";"Y15-64";"T";"EU27";"A";"2003";62,6;NA;NA
"PC";"Y15-64";"T";"EU27";"A";"2002";62,4;NA;NA
"PC";"Y15-64";"T";"EU27";"A";"2001";62,5;NA;NA
"PC";"Y15-64";"T";"EU27";"A";"2000";62,1;NA;NA
"PC";"Y15-64";"T";"EU27";"A";"1999";NA;NA;"na"
"PC";"Y15-64";"T";"EU28";"A";"2015";65,6;NA;NA
"PC";"Y15-64";"T";"EU28";"A";"2014";64,8;NA;NA
"PC";"Y15-64";"T";"EU28";"A";"2013";64;NA;NA
"PC";"Y15-64";"T";"EU28";"A";"2012";64;NA;NA
"PC";"Y15-64";"T";"EU28";"A";"2011";64,1;NA;NA
"PC";"Y15-64";"T";"EU28";"A";"2010";64;NA;NA
"PC";"Y15-64";"T";"EU28";"A";"2009";64,4;NA;NA
"PC";"Y15-64";"T";"EU28";"A";"2008";65,7;NA;NA
"PC";"Y15-64";"T";"EU28";"A";"2007";65,2;NA;NA
"PC";"Y15-64";"T";"EU28";"A";"2006";64,2;NA;NA
"PC";"Y15-64";"T";"EU28";"A";"2005";63,3;"b";NA
"PC";"Y15-64";"T";"EU28";"A";"2004";62,7;NA;NA
"PC";"Y15-64";"T";"EU28";"A";"2003";62,5;NA;NA
"PC";"Y15-64";"T";"EU28";"A";"2002";62,3;NA;NA
"PC";"Y15-64";"T";"EU28";"A";"2001";NA;NA;"na"
"PC";"Y15-64";"T";"EU28";"A";"2000";NA;NA;"na"
"PC";"Y15-64";"T";"EU28";"A";"1999";NA;NA;"na"
"PC";"Y15-64";"T";"IT";"A";"2015";56,3;NA;NA
"PC";"Y15-64";"T";"IT";"A";"2014";55,7;NA;NA
"PC";"Y15-64";"T";"IT";"A";"2013";55,5;NA;NA
"PC";"Y15-64";"T";"IT";"A";"2012";56,6;NA;NA
"PC";"Y15-64";"T";"IT";"A";"2011";56,8;NA;NA
"PC";"Y15-64";"T";"IT";"A";"2010";56,8;NA;NA
"PC";"Y15-64";"T";"IT";"A";"2009";57,4;NA;NA
"PC";"Y15-64";"T";"IT";"A";"2008";58,6;NA;NA
"PC";"Y15-64";"T";"IT";"A";"2007";58,6;NA;NA
"PC";"Y15-64";"T";"IT";"A";"2006";58,3;NA;NA
"PC";"Y15-64";"T";"IT";"A";"2005";57,6;"b";NA
"PC";"Y15-64";"T";"IT";"A";"2004";57,8;"b";NA
"PC";"Y15-64";"T";"IT";"A";"2003";56,1;NA;NA
"PC";"Y15-64";"T";"IT";"A";"2002";55,4;NA;NA
"PC";"Y15-64";"T";"IT";"A";"2001";54,5;NA;NA
"PC";"Y15-64";"T";"IT";"A";"2000";53,4;NA;NA
"PC";"Y15-64";"T";"IT";"A";"1999";52,5;NA;NA
"PC";"Y15-64";"T";"ITC4";"A";"2015";65,1;NA;NA
"PC";"Y15-64";"T";"ITC4";"A";"2014";64,9;NA;NA
"PC";"Y15-64";"T";"ITC4";"A";"2013";64,8;NA;NA
"PC";"Y15-64";"T";"ITC4";"A";"2012";64,5;NA;NA
"PC";"Y15-64";"T";"ITC4";"A";"2011";64,6;NA;NA
"PC";"Y15-64";"T";"ITC4";"A";"2010";65;NA;NA
"PC";"Y15-64";"T";"ITC4";"A";"2009";65,7;NA;NA
"PC";"Y15-64";"T";"ITC4";"A";"2008";66,9;NA;NA
"PC";"Y15-64";"T";"ITC4";"A";"2007";66,7;NA;NA
"PC";"Y15-64";"T";"ITC4";"A";"2006";66,5;NA;NA
"PC";"Y15-64";"T";"ITC4";"A";"2005";65,5;"b";NA
