"INDIC_DE";"GEO";"FREQ";"obsTime";"obsValue";"OBS_STATUS";"OBS_FLAG"
"NATGROWRT";"DE2";"A";"2014";-0,8;NA;"b"
"NATGROWRT";"DE2";"A";"2013";-1,4;NA;NA
"NATGROWRT";"DE2";"A";"2012";-1,5;NA;NA
"NATGROWRT";"DE2";"A";"2011";-1,5;NA;NA
"NATGROWRT";"DE2";"A";"2010";-1,4;NA;NA
"NATGROWRT";"DE2";"A";"2009";-1,5;NA;NA
"NATGROWRT";"DE2";"A";"2008";-1,2;NA;NA
"NATGROWRT";"DE2";"A";"2007";-0,9;NA;NA
"NATGROWRT";"DE2";"A";"2006";-1,1;NA;NA
"NATGROWRT";"DE2";"A";"2005";-1;NA;NA
"NATGROWRT";"DE2";"A";"2004";-0,4;NA;NA
"NATGROWRT";"DE2";"A";"2003";-0,8;NA;NA
"NATGROWRT";"DE2";"A";"2002";-0,5;NA;NA
"NATGROWRT";"DE2";"A";"2001";-0,2;NA;NA
"NATGROWRT";"DE2";"A";"2000";0,2;NA;NA
"NATGROWRT";"IT";"A";"2015";NA;"na";NA
"NATGROWRT";"IT";"A";"2014";-1,6;NA;NA
"NATGROWRT";"IT";"A";"2013";-1,4;NA;NA
"NATGROWRT";"IT";"A";"2012";-1,3;NA;NA
"NATGROWRT";"IT";"A";"2011";-0,8;NA;NA
"NATGROWRT";"IT";"A";"2010";-0,4;NA;NA
"NATGROWRT";"IT";"A";"2009";-0,4;NA;NA
"NATGROWRT";"IT";"A";"2008";-0,1;NA;NA
"NATGROWRT";"IT";"A";"2007";-0,1;NA;NA
"NATGROWRT";"IT";"A";"2006";0;NA;NA
"NATGROWRT";"IT";"A";"2005";-0,2;NA;NA
"NATGROWRT";"IT";"A";"2004";0,3;NA;NA
"NATGROWRT";"IT";"A";"2003";-0,7;NA;NA
"NATGROWRT";"IT";"A";"2002";-0,3;NA;NA
"NATGROWRT";"IT";"A";"2001";-0,2;NA;NA
"NATGROWRT";"IT";"A";"2000";-0,2;NA;NA
"NATGROWRT";"ITC4";"A";"2015";NA;"na";NA
"NATGROWRT";"ITC4";"A";"2014";-0,4;NA;NA
"NATGROWRT";"ITC4";"A";"2013";-0,3;NA;NA
"NATGROWRT";"ITC4";"A";"2012";-0,2;NA;NA
"NATGROWRT";"ITC4";"A";"2011";0,5;NA;NA
"NATGROWRT";"ITC4";"A";"2010";0,8;NA;NA
"NATGROWRT";"ITC4";"A";"2009";1;NA;NA
"NATGROWRT";"ITC4";"A";"2008";0,9;NA;NA
"NATGROWRT";"ITC4";"A";"2007";1,1;NA;NA
"NATGROWRT";"ITC4";"A";"2006";1,1;NA;NA
"NATGROWRT";"ITC4";"A";"2005";0,7;NA;NA
"NATGROWRT";"ITC4";"A";"2004";1,1;NA;NA
"NATGROWRT";"ITC4";"A";"2003";-0,2;NA;NA
"NATGROWRT";"ITC4";"A";"2002";0,1;NA;NA
"NATGROWRT";"ITC4";"A";"2001";0,1;NA;NA
"NATGROWRT";"ITC4";"A";"2000";0;NA;NA
"NATGROWRT";"ITH";"A";"2015";NA;"na";NA
"NATGROWRT";"ITH";"A";"2014";-1,7;NA;NA
"NATGROWRT";"ITH";"A";"2013";-1,5;NA;NA
"NATGROWRT";"ITH";"A";"2012";-1,3;NA;NA
"NATGROWRT";"ITH";"A";"2011";-0,8;NA;NA
"NATGROWRT";"ITH";"A";"2010";-0,5;NA;NA
"NATGROWRT";"ITH";"A";"2009";-0,4;NA;NA
"NATGROWRT";"ITH";"A";"2008";-0,3;NA;NA
"NATGROWRT";"ITH";"A";"2007";-0,2;NA;NA
"NATGROWRT";"ITH";"A";"2006";-0,2;NA;NA
"NATGROWRT";"ITH";"A";"2005";-0,5;NA;NA
"NATGROWRT";"ITH";"A";"2004";-0,3;NA;NA
"NATGROWRT";"ITH";"A";"2003";-1,4;NA;NA
"NATGROWRT";"ITH";"A";"2002";-1,1;NA;NA
"NATGROWRT";"ITH";"A";"2001";-1,1;NA;NA
"NATGROWRT";"ITH";"A";"2000";NA;"na";NA
"NATGROWRT";"ITH1";"A";"2015";NA;"na";NA
"NATGROWRT";"ITH1";"A";"2014";2,7;NA;NA
"NATGROWRT";"ITH1";"A";"2013";2,4;NA;NA
"NATGROWRT";"ITH1";"A";"2012";2,4;NA;NA
"NATGROWRT";"ITH1";"A";"2011";2,7;NA;NA
"NATGROWRT";"ITH1";"A";"2010";3;NA;NA
"NATGROWRT";"ITH1";"A";"2009";2,9;NA;NA
"NATGROWRT";"ITH1";"A";"2008";3,2;NA;NA
"NATGROWRT";"ITH1";"A";"2007";3,7;NA;NA
"NATGROWRT";"ITH1";"A";"2006";3,5;NA;NA
"NATGROWRT";"ITH1";"A";"2005";3,6;NA;NA
"NATGROWRT";"ITH1";"A";"2004";3,6;NA;NA
"NATGROWRT";"ITH1";"A";"2003";3,1;NA;NA
"NATGROWRT";"ITH1";"A";"2002";3,3;NA;NA
"NATGROWRT";"ITH1";"A";"2001";4;NA;NA
"NATGROWRT";"ITH1";"A";"2000";3,7;NA;NA
"NATGROWRT";"ITH2";"A";"2015";NA;"na";NA
"NATGROWRT";"ITH2";"A";"2014";0,2;NA;NA
"NATGROWRT";"ITH2";"A";"2013";0,5;NA;NA
"NATGROWRT";"ITH2";"A";"2012";0,9;NA;NA
"NATGROWRT";"ITH2";"A";"2011";1,3;NA;NA
"NATGROWRT";"ITH2";"A";"2010";1,4;NA;NA
"NATGROWRT";"ITH2";"A";"2009";1,4;NA;NA
"NATGROWRT";"ITH2";"A";"2008";1,5;NA;NA
"NATGROWRT";"ITH2";"A";"2007";1,2;NA;NA
"NATGROWRT";"ITH2";"A";"2006";1,3;NA;NA
"NATGROWRT";"ITH2";"A";"2005";1,5;NA;NA
"NATGROWRT";"ITH2";"A";"2004";2;NA;NA
"NATGROWRT";"ITH2";"A";"2003";0,7;NA;NA
"NATGROWRT";"ITH2";"A";"2002";1,6;NA;NA
"NATGROWRT";"ITH2";"A";"2001";1,3;NA;NA
"NATGROWRT";"ITH2";"A";"2000";1,3;NA;NA
"NATGROWRT";"ITH3";"A";"2015";NA;"na";NA
"NATGROWRT";"ITH3";"A";"2014";-1,1;NA;NA
"NATGROWRT";"ITH3";"A";"2013";-0,9;NA;NA
"NATGROWRT";"ITH3";"A";"2012";-0,5;NA;NA
"NATGROWRT";"ITH3";"A";"2011";0;NA;NA
"NATGROWRT";"ITH3";"A";"2010";0,4;NA;NA
"NATGROWRT";"ITH3";"A";"2009";0,7;NA;NA
"NATGROWRT";"ITH3";"A";"2008";0,8;NA;NA
"NATGROWRT";"ITH3";"A";"2007";0,9;NA;NA
"NATGROWRT";"ITH3";"A";"2006";1;NA;NA
"NATGROWRT";"ITH3";"A";"2005";0,7;NA;NA
"NATGROWRT";"ITH3";"A";"2004";1,1;NA;NA
"NATGROWRT";"ITH3";"A";"2003";0;NA;NA
"NATGROWRT";"ITH3";"A";"2002";0,2;NA;NA
"NATGROWRT";"ITH3";"A";"2001";0,3;NA;NA
"NATGROWRT";"ITH3";"A";"2000";0,3;NA;NA
