"UNIT";"GEO";"FREQ";"obsTime";"obsValue"
"PPS_HAB";"ITH";"A";"2004";28200
"PPS_HAB";"ITH";"A";"2003";27900
"PPS_HAB";"ITH";"A";"2002";27800
"PPS_HAB";"ITH";"A";"2001";28600
"PPS_HAB";"ITH";"A";"2000";27700
"PPS_HAB";"ITH1";"A";"2014";39700
"PPS_HAB";"ITH1";"A";"2013";40000
"PPS_HAB";"ITH1";"A";"2012";40300
"PPS_HAB";"ITH1";"A";"2011";38200
"PPS_HAB";"ITH1";"A";"2010";37200
"PPS_HAB";"ITH1";"A";"2009";35700
"PPS_HAB";"ITH1";"A";"2008";37200
"PPS_HAB";"ITH1";"A";"2007";36500
"PPS_HAB";"ITH1";"A";"2006";34700
"PPS_HAB";"ITH1";"A";"2005";32800
"PPS_HAB";"ITH1";"A";"2004";32500
"PPS_HAB";"ITH1";"A";"2003";31600
"PPS_HAB";"ITH1";"A";"2002";31400
"PPS_HAB";"ITH1";"A";"2001";32600
"PPS_HAB";"ITH1";"A";"2000";31900
"PPS_HAB";"ITH2";"A";"2014";33700
"PPS_HAB";"ITH2";"A";"2013";33800
"PPS_HAB";"ITH2";"A";"2012";34000
"PPS_HAB";"ITH2";"A";"2011";33500
"PPS_HAB";"ITH2";"A";"2010";32900
"PPS_HAB";"ITH2";"A";"2009";32000
"PPS_HAB";"ITH2";"A";"2008";33700
"PPS_HAB";"ITH2";"A";"2007";33700
"PPS_HAB";"ITH2";"A";"2006";31900
"PPS_HAB";"ITH2";"A";"2005";30700
"PPS_HAB";"ITH2";"A";"2004";30300
"PPS_HAB";"ITH2";"A";"2003";30500
"PPS_HAB";"ITH2";"A";"2002";30500
"PPS_HAB";"ITH2";"A";"2001";31400
"PPS_HAB";"ITH2";"A";"2000";30200
"PPS_HAB";"ITH3";"A";"2014";29800
"PPS_HAB";"ITH3";"A";"2013";29300
"PPS_HAB";"ITH3";"A";"2012";30000
"PPS_HAB";"ITH3";"A";"2011";30000
"PPS_HAB";"ITH3";"A";"2010";29100
"PPS_HAB";"ITH3";"A";"2009";28200
"PPS_HAB";"ITH3";"A";"2008";30200
"PPS_HAB";"ITH3";"A";"2007";30600
"PPS_HAB";"ITH3";"A";"2006";29100
"PPS_HAB";"ITH3";"A";"2005";28000
"PPS_HAB";"ITH3";"A";"2004";27500
"PPS_HAB";"ITH3";"A";"2003";27100
"PPS_HAB";"ITH3";"A";"2002";26600
"PPS_HAB";"ITH3";"A";"2001";27500
"PPS_HAB";"ITH3";"A";"2000";26700
