"UNIT";"AGE";"SEX";"GEO";"FREQ";"obsTime";"obsValue";"OBS_FLAG";"OBS_STATUS"
"PC";"Y_GE15";"T";"DE2";"A";"2009";5,1;NA;NA
"PC";"Y_GE15";"T";"DE2";"A";"2008";4,3;NA;NA
"PC";"Y_GE15";"T";"DE2";"A";"2007";5,3;NA;NA
"PC";"Y_GE15";"T";"DE2";"A";"2006";6,5;NA;NA
"PC";"Y_GE15";"T";"DE2";"A";"2005";7,1;"b";NA
"PC";"Y_GE15";"T";"DE2";"A";"2004";6,8;NA;NA
"PC";"Y_GE15";"T";"DE2";"A";"2003";6,1;NA;NA
"PC";"Y_GE15";"T";"DE2";"A";"2002";4,5;NA;NA
"PC";"Y_GE15";"T";"DE2";"A";"2001";3,8;NA;NA
"PC";"Y_GE15";"T";"DE2";"A";"2000";4;NA;NA
"PC";"Y_GE15";"T";"DE2";"A";"1999";5;NA;NA
"PC";"Y_GE15";"T";"EU27";"A";"2015";9,3;NA;NA
"PC";"Y_GE15";"T";"EU27";"A";"2014";10,1;NA;NA
"PC";"Y_GE15";"T";"EU27";"A";"2013";10,8;NA;NA
"PC";"Y_GE15";"T";"EU27";"A";"2012";10,4;NA;NA
"PC";"Y_GE15";"T";"EU27";"A";"2011";9,6;NA;NA
"PC";"Y_GE15";"T";"EU27";"A";"2010";9,6;NA;NA
"PC";"Y_GE15";"T";"EU27";"A";"2009";8,9;NA;NA
"PC";"Y_GE15";"T";"EU27";"A";"2008";7;NA;NA
"PC";"Y_GE15";"T";"EU27";"A";"2007";7,1;NA;NA
"PC";"Y_GE15";"T";"EU27";"A";"2006";8,2;NA;NA
"PC";"Y_GE15";"T";"EU27";"A";"2005";8,9;"b";NA
"PC";"Y_GE15";"T";"EU27";"A";"2004";9,2;NA;NA
"PC";"Y_GE15";"T";"EU27";"A";"2003";9;NA;NA
"PC";"Y_GE15";"T";"EU27";"A";"2002";9;NA;NA
"PC";"Y_GE15";"T";"EU27";"A";"2001";8,6;NA;NA
"PC";"Y_GE15";"T";"EU27";"A";"2000";9,2;NA;NA
"PC";"Y_GE15";"T";"EU27";"A";"1999";NA;NA;"na"
