"ICD10";"UNIT";"AGE";"SEX";"GEO";"FREQ";"obsTime";"obsValue";"OBS_STATUS";"OBS_FLAG"
"I";"RT";"TOTAL";"T";"AT32";"A";"2010";315,2;NA;NA
"I";"RT";"TOTAL";"T";"AT32";"A";"2009";328,8;NA;NA
"I";"RT";"TOTAL";"T";"AT32";"A";"2008";327,4;NA;NA
"I";"RT";"TOTAL";"T";"AT32";"A";"2007";334,5;NA;NA
"I";"RT";"TOTAL";"T";"AT32";"A";"2006";347,3;NA;NA
"I";"RT";"TOTAL";"T";"AT32";"A";"2005";333,2;NA;NA
"I";"RT";"TOTAL";"T";"AT32";"A";"2004";339,7;NA;NA
"I";"RT";"TOTAL";"T";"AT32";"A";"2003";384,3;NA;NA
"I";"RT";"TOTAL";"T";"AT32";"A";"2002";384,1;NA;NA
"I";"RT";"TOTAL";"T";"AT32";"A";"2001";398,7;NA;NA
"I";"RT";"TOTAL";"T";"AT32";"A";"2000";404,2;NA;NA
"I";"RT";"TOTAL";"T";"AT32";"A";"1999";419,5;NA;NA
"I";"RT";"TOTAL";"T";"AT32";"A";"1998";412,1;NA;NA
"I";"RT";"TOTAL";"T";"AT32";"A";"1997";411,2;NA;NA
"I";"RT";"TOTAL";"T";"AT32";"A";"1996";413,8;NA;NA
"I";"RT";"TOTAL";"T";"AT32";"A";"1995";434,9;NA;NA
"I";"RT";"TOTAL";"T";"AT32";"A";"1994";399,2;NA;NA
"I";"RT";"TOTAL";"T";"AT33";"A";"2010";316;NA;NA
"I";"RT";"TOTAL";"T";"AT33";"A";"2009";311,3;NA;NA
"I";"RT";"TOTAL";"T";"AT33";"A";"2008";295,3;NA;NA
"I";"RT";"TOTAL";"T";"AT33";"A";"2007";293,3;NA;NA
"I";"RT";"TOTAL";"T";"AT33";"A";"2006";295,1;NA;NA
"I";"RT";"TOTAL";"T";"AT33";"A";"2005";296;NA;NA
"I";"RT";"TOTAL";"T";"AT33";"A";"2004";304;NA;NA
"I";"RT";"TOTAL";"T";"AT33";"A";"2003";320,6;NA;NA
"I";"RT";"TOTAL";"T";"AT33";"A";"2002";335,8;NA;NA
"I";"RT";"TOTAL";"T";"AT33";"A";"2001";368,9;NA;NA
"I";"RT";"TOTAL";"T";"AT33";"A";"2000";378,5;NA;NA
"I";"RT";"TOTAL";"T";"AT33";"A";"1999";390,7;NA;NA
"I";"RT";"TOTAL";"T";"AT33";"A";"1998";395,5;NA;NA
"I";"RT";"TOTAL";"T";"AT33";"A";"1997";408,9;NA;NA
"I";"RT";"TOTAL";"T";"AT33";"A";"1996";405,2;NA;NA
"I";"RT";"TOTAL";"T";"AT33";"A";"1995";390,6;NA;NA
"I";"RT";"TOTAL";"T";"AT33";"A";"1994";398,4;NA;NA
"I";"RT";"TOTAL";"T";"AT34";"A";"2010";277,5;NA;NA
"I";"RT";"TOTAL";"T";"AT34";"A";"2009";280,8;NA;NA
"I";"RT";"TOTAL";"T";"AT34";"A";"2008";275,1;NA;NA
"I";"RT";"TOTAL";"T";"AT34";"A";"2007";291,7;NA;NA
"I";"RT";"TOTAL";"T";"AT34";"A";"2006";290,5;NA;NA
"I";"RT";"TOTAL";"T";"AT34";"A";"2005";279,2;NA;NA
"I";"RT";"TOTAL";"T";"AT34";"A";"2004";283,4;NA;NA
"I";"RT";"TOTAL";"T";"AT34";"A";"2003";319,2;NA;NA
"I";"RT";"TOTAL";"T";"AT34";"A";"2002";312,5;NA;NA
"I";"RT";"TOTAL";"T";"AT34";"A";"2001";345,2;NA;NA
"I";"RT";"TOTAL";"T";"AT34";"A";"2000";347,9;NA;NA
"I";"RT";"TOTAL";"T";"AT34";"A";"1999";371,3;NA;NA
"I";"RT";"TOTAL";"T";"AT34";"A";"1998";387,3;NA;NA
