"ICD10";"UNIT";"AGE";"SEX";"GEO";"FREQ";"obsTime";"obsValue";"OBS_STATUS";"OBS_FLAG"
"C00-D48";"RT";"TOTAL";"T";"AT32";"A";"2010";207,6;NA;NA
"C00-D48";"RT";"TOTAL";"T";"AT32";"A";"2009";202,6;NA;NA
"C00-D48";"RT";"TOTAL";"T";"AT32";"A";"2008";195,3;NA;NA
"C00-D48";"RT";"TOTAL";"T";"AT32";"A";"2007";201,2;NA;NA
"C00-D48";"RT";"TOTAL";"T";"AT32";"A";"2006";197,5;NA;NA
"C00-D48";"RT";"TOTAL";"T";"AT32";"A";"2005";215;NA;NA
"C00-D48";"RT";"TOTAL";"T";"AT32";"A";"2004";204;NA;NA
"C00-D48";"RT";"TOTAL";"T";"AT32";"A";"2003";211,4;NA;NA
"C00-D48";"RT";"TOTAL";"T";"AT32";"A";"2002";200,7;NA;NA
"C00-D48";"RT";"TOTAL";"T";"AT32";"A";"2001";201,2;NA;NA
"C00-D48";"RT";"TOTAL";"T";"AT32";"A";"2000";201,2;NA;NA
"C00-D48";"RT";"TOTAL";"T";"AT32";"A";"1999";201,5;NA;NA
"C00-D48";"RT";"TOTAL";"T";"AT32";"A";"1998";205,8;NA;NA
"C00-D48";"RT";"TOTAL";"T";"AT32";"A";"1997";196,1;NA;NA
"C00-D48";"RT";"TOTAL";"T";"AT32";"A";"1996";194,4;NA;NA
"C00-D48";"RT";"TOTAL";"T";"AT32";"A";"1995";207,1;NA;NA
"C00-D48";"RT";"TOTAL";"T";"AT32";"A";"1994";199,5;NA;NA
"C00-D48";"RT";"TOTAL";"T";"AT33";"A";"2010";208,1;NA;NA
"C00-D48";"RT";"TOTAL";"T";"AT33";"A";"2009";208,5;NA;NA
"C00-D48";"RT";"TOTAL";"T";"AT33";"A";"2008";207,5;NA;NA
"C00-D48";"RT";"TOTAL";"T";"AT33";"A";"2007";209,7;NA;NA
"C00-D48";"RT";"TOTAL";"T";"AT33";"A";"2006";198,3;NA;NA
"C00-D48";"RT";"TOTAL";"T";"AT33";"A";"2005";218,2;NA;NA
"C00-D48";"RT";"TOTAL";"T";"AT33";"A";"2004";205,6;NA;NA
"C00-D48";"RT";"TOTAL";"T";"AT33";"A";"2003";206;NA;NA
"C00-D48";"RT";"TOTAL";"T";"AT33";"A";"2002";202,3;NA;NA
"C00-D48";"RT";"TOTAL";"T";"AT33";"A";"2001";206,4;NA;NA
"C00-D48";"RT";"TOTAL";"T";"AT33";"A";"2000";192,2;NA;NA
"C00-D48";"RT";"TOTAL";"T";"AT33";"A";"1999";199,8;NA;NA
"C00-D48";"RT";"TOTAL";"T";"AT33";"A";"1998";207,4;NA;NA
"C00-D48";"RT";"TOTAL";"T";"AT33";"A";"1997";216,6;NA;NA
"C00-D48";"RT";"TOTAL";"T";"AT33";"A";"1996";206,7;NA;NA
"C00-D48";"RT";"TOTAL";"T";"AT33";"A";"1995";200;NA;NA
"C00-D48";"RT";"TOTAL";"T";"AT33";"A";"1994";210,5;NA;NA
"C00-D48";"RT";"TOTAL";"T";"AT34";"A";"2010";201,9;NA;NA
"C00-D48";"RT";"TOTAL";"T";"AT34";"A";"2009";192;NA;NA
"C00-D48";"RT";"TOTAL";"T";"AT34";"A";"2008";202,3;NA;NA
"C00-D48";"RT";"TOTAL";"T";"AT34";"A";"2007";204,1;NA;NA
"C00-D48";"RT";"TOTAL";"T";"AT34";"A";"2006";199,2;NA;NA
"C00-D48";"RT";"TOTAL";"T";"AT34";"A";"2005";187,6;NA;NA
"C00-D48";"RT";"TOTAL";"T";"AT34";"A";"2004";198,3;NA;NA
"C00-D48";"RT";"TOTAL";"T";"AT34";"A";"2003";200,9;NA;NA
"C00-D48";"RT";"TOTAL";"T";"AT34";"A";"2002";184,1;NA;NA
"C00-D48";"RT";"TOTAL";"T";"AT34";"A";"2001";179,6;NA;NA
"C00-D48";"RT";"TOTAL";"T";"AT34";"A";"2000";177,8;NA;NA
"C00-D48";"RT";"TOTAL";"T";"AT34";"A";"1999";197,1;NA;NA
"C00-D48";"RT";"TOTAL";"T";"AT34";"A";"1998";182,2;NA;NA
"C00-D48";"RT";"TOTAL";"T";"AT34";"A";"1997";194,3;NA;NA
"C00-D48";"RT";"TOTAL";"T";"AT34";"A";"1996";185,1;NA;NA
"C00-D48";"RT";"TOTAL";"T";"AT34";"A";"1995";191,5;NA;NA
"C00-D48";"RT";"TOTAL";"T";"AT34";"A";"1994";189,4;NA;NA
"C00-D48";"RT";"TOTAL";"T";"CH07";"A";"2010";250,3;NA;NA
"C00-D48";"RT";"TOTAL";"T";"CH07";"A";"2009";261,8;NA;NA
"C00-D48";"RT";"TOTAL";"T";"CH07";"A";"2008";264;NA;NA
"C00-D48";"RT";"TOTAL";"T";"CH07";"A";"2007";266;NA;NA
"C00-D48";"RT";"TOTAL";"T";"CH07";"A";"2006";272,3;NA;NA
"C00-D48";"RT";"TOTAL";"T";"CH07";"A";"2005";240,7;NA;NA
"C00-D48";"RT";"TOTAL";"T";"CH07";"A";"2004";262,7;NA;NA
"C00-D48";"RT";"TOTAL";"T";"CH07";"A";"2003";276;NA;NA
"C00-D48";"RT";"TOTAL";"T";"CH07";"A";"2002";265,4;NA;NA
"C00-D48";"RT";"TOTAL";"T";"CH07";"A";"2001";252,8;NA;NA
"C00-D48";"RT";"TOTAL";"T";"CH07";"A";"2000";268;NA;NA
"C00-D48";"RT";"TOTAL";"T";"CH07";"A";"1999";264,5;NA;NA
"C00-D48";"RT";"TOTAL";"T";"CH07";"A";"1998";268,1;NA;NA
"C00-D48";"RT";"TOTAL";"T";"CH07";"A";"1997";270,6;NA;NA
"C00-D48";"RT";"TOTAL";"T";"CH07";"A";"1996";262,9;NA;NA
"C00-D48";"RT";"TOTAL";"T";"CH07";"A";"1995";241,4;NA;NA
"C00-D48";"RT";"TOTAL";"T";"CH07";"A";"1994";NA;"na";NA
"C00-D48";"RT";"TOTAL";"T";"DE2";"A";"2010";252,7;NA;NA
"C00-D48";"RT";"TOTAL";"T";"DE2";"A";"2009";247,1;NA;NA
"C00-D48";"RT";"TOTAL";"T";"DE2";"A";"2008";245,7;NA;NA
"C00-D48";"RT";"TOTAL";"T";"DE2";"A";"2007";244,3;NA;NA
"C00-D48";"RT";"TOTAL";"T";"DE2";"A";"2006";245,8;NA;NA
"C00-D48";"RT";"TOTAL";"T";"DE2";"A";"2005";245,7;NA;NA
"C00-D48";"RT";"TOTAL";"T";"DE2";"A";"2004";243,6;NA;NA
"C00-D48";"RT";"TOTAL";"T";"DE2";"A";"2003";248,1;NA;NA
"C00-D48";"RT";"TOTAL";"T";"DE2";"A";"2002";252,1;NA;NA
"C00-D48";"RT";"TOTAL";"T";"DE2";"A";"2001";249,7;NA;NA
"C00-D48";"RT";"TOTAL";"T";"DE2";"A";"2000";253,2;NA;NA
"C00-D48";"RT";"TOTAL";"T";"DE2";"A";"1999";252,9;NA;NA
"C00-D48";"RT";"TOTAL";"T";"DE2";"A";"1998";255;NA;NA
"C00-D48";"RT";"TOTAL";"T";"DE2";"A";"1997";255,6;NA;NA
"C00-D48";"RT";"TOTAL";"T";"DE2";"A";"1996";258;NA;NA
"C00-D48";"RT";"TOTAL";"T";"DE2";"A";"1995";259;NA;NA
"C00-D48";"RT";"TOTAL";"T";"DE2";"A";"1994";257;NA;NA
"C00-D48";"RT";"TOTAL";"T";"EU28";"A";"2010";258,7;NA;"p"
"C00-D48";"RT";"TOTAL";"T";"EU28";"A";"2009";257,7;NA;NA
"C00-D48";"RT";"TOTAL";"T";"EU28";"A";"2008";257,4;NA;NA
"C00-D48";"RT";"TOTAL";"T";"EU28";"A";"2007";255,2;NA;NA
"C00-D48";"RT";"TOTAL";"T";"EU28";"A";"2006";253,8;NA;NA
"C00-D48";"RT";"TOTAL";"T";"EU28";"A";"2005";253,5;NA;"p"
"C00-D48";"RT";"TOTAL";"T";"EU28";"A";"2004";253,1;NA;"p"
"C00-D48";"RT";"TOTAL";"T";"EU28";"A";"2003";253,8;NA;NA
"C00-D48";"RT";"TOTAL";"T";"EU28";"A";"2002";252,8;NA;"p"
"C00-D48";"RT";"TOTAL";"T";"EU28";"A";"2001";252,1;NA;"p"
"C00-D48";"RT";"TOTAL";"T";"EU28";"A";"2000";249,2;NA;"p"
"C00-D48";"RT";"TOTAL";"T";"EU28";"A";"1999";217,8;NA;NA
"C00-D48";"RT";"TOTAL";"T";"EU28";"A";"1998";NA;"na";NA
"C00-D48";"RT";"TOTAL";"T";"EU28";"A";"1997";NA;"na";NA
"C00-D48";"RT";"TOTAL";"T";"EU28";"A";"1996";NA;"na";NA
"C00-D48";"RT";"TOTAL";"T";"EU28";"A";"1995";NA;"na";NA
"C00-D48";"RT";"TOTAL";"T";"EU28";"A";"1994";NA;"na";NA
"C00-D48";"RT";"TOTAL";"T";"IT";"A";"2010";289,4;NA;NA
"C00-D48";"RT";"TOTAL";"T";"IT";"A";"2009";290,2;NA;NA
"C00-D48";"RT";"TOTAL";"T";"IT";"A";"2008";288,8;NA;NA
"C00-D48";"RT";"TOTAL";"T";"IT";"A";"2007";289,1;NA;NA
"C00-D48";"RT";"TOTAL";"T";"IT";"A";"2006";286,2;NA;NA
"C00-D48";"RT";"TOTAL";"T";"IT";"A";"2005";NA;"na";NA
"C00-D48";"RT";"TOTAL";"T";"IT";"A";"2004";NA;"na";NA
"C00-D48";"RT";"TOTAL";"T";"IT";"A";"2003";290,2;NA;NA
"C00-D48";"RT";"TOTAL";"T";"IT";"A";"2002";285,3;NA;NA
"C00-D48";"RT";"TOTAL";"T";"IT";"A";"2001";288,4;NA;NA
"C00-D48";"RT";"TOTAL";"T";"IT";"A";"2000";281,1;NA;NA
"C00-D48";"RT";"TOTAL";"T";"IT";"A";"1999";278,6;NA;NA
"C00-D48";"RT";"TOTAL";"T";"IT";"A";"1998";279,3;NA;NA
"C00-D48";"RT";"TOTAL";"T";"IT";"A";"1997";275,9;NA;NA
"C00-D48";"RT";"TOTAL";"T";"IT";"A";"1996";275,4;NA;NA
"C00-D48";"RT";"TOTAL";"T";"IT";"A";"1995";270,8;NA;NA
"C00-D48";"RT";"TOTAL";"T";"IT";"A";"1994";274,6;NA;NA
"C00-D48";"RT";"TOTAL";"T";"ITC4";"A";"2010";308,5;NA;NA
"C00-D48";"RT";"TOTAL";"T";"ITC4";"A";"2009";312,6;NA;NA
"C00-D48";"RT";"TOTAL";"T";"ITC4";"A";"2008";308,4;NA;NA
"C00-D48";"RT";"TOTAL";"T";"ITC4";"A";"2007";309,1;NA;NA
"C00-D48";"RT";"TOTAL";"T";"ITC4";"A";"2006";306,2;NA;NA
"C00-D48";"RT";"TOTAL";"T";"ITC4";"A";"2005";NA;"na";NA
"C00-D48";"RT";"TOTAL";"T";"ITC4";"A";"2004";NA;"na";NA
"C00-D48";"RT";"TOTAL";"T";"ITC4";"A";"2003";317,9;NA;NA
"C00-D48";"RT";"TOTAL";"T";"ITC4";"A";"2002";315,5;NA;NA
"C00-D48";"RT";"TOTAL";"T";"ITC4";"A";"2001";323;NA;NA
"C00-D48";"RT";"TOTAL";"T";"ITC4";"A";"2000";303,5;NA;NA
"C00-D48";"RT";"TOTAL";"T";"ITC4";"A";"1999";307,1;NA;NA
"C00-D48";"RT";"TOTAL";"T";"ITC4";"A";"1998";312,5;NA;NA
