"UNIT";"INDIC_TO";"NACE_R2";"GEO";"FREQ";"obsTime";"obsValue";"OBS_STATUS";"OBS_FLAG"
"NR";"B003";"I551-I553";"AT34";"A";"1994";1171346;NA;NA
"NR";"B003";"I551-I553";"AT34";"A";"1993";1196309;NA;NA
"NR";"B003";"I551-I553";"AT34";"A";"1992";1251835;NA;NA
"NR";"B003";"I551-I553";"AT34";"A";"1991";1243536;NA;NA
"NR";"B003";"I551-I553";"AT34";"A";"1990";1168526;NA;NA
"NR";"B003";"I551-I553";"CH07";"A";"2015";NA;"na";NA
"NR";"B003";"I551-I553";"CH07";"A";"2014";NA;"na";NA
"NR";"B003";"I551-I553";"CH07";"A";"2013";NA;"na";NA
"NR";"B003";"I551-I553";"CH07";"A";"2012";NA;"na";NA
"NR";"B003";"I551-I553";"CH07";"A";"2011";NA;"na";NA
"NR";"B003";"I551-I553";"CH07";"A";"2010";NA;"na";NA
"NR";"B003";"I551-I553";"CH07";"A";"2009";NA;"na";NA
"NR";"B003";"I551-I553";"CH07";"A";"2008";NA;"na";NA
"NR";"B003";"I551-I553";"CH07";"A";"2007";NA;"na";NA
"NR";"B003";"I551-I553";"CH07";"A";"2006";NA;"na";NA
"NR";"B003";"I551-I553";"CH07";"A";"2005";NA;"na";NA
"NR";"B003";"I551-I553";"CH07";"A";"2004";NA;"na";NA
"NR";"B003";"I551-I553";"CH07";"A";"2003";NA;"na";NA
"NR";"B003";"I551-I553";"CH07";"A";"2002";1081467;NA;NA
"NR";"B003";"I551-I553";"CH07";"A";"2001";1216089;NA;NA
"NR";"B003";"I551-I553";"CH07";"A";"2000";1224521;NA;NA
"NR";"B003";"I551-I553";"CH07";"A";"1999";1184448;NA;NA
"NR";"B003";"I551-I553";"CH07";"A";"1998";1150820;NA;NA
"NR";"B003";"I551-I553";"CH07";"A";"1997";1140031;NA;NA
"NR";"B003";"I551-I553";"CH07";"A";"1996";NA;"na";NA
"NR";"B003";"I551-I553";"CH07";"A";"1995";NA;"na";NA
"NR";"B003";"I551-I553";"CH07";"A";"1994";NA;"na";NA
"NR";"B003";"I551-I553";"CH07";"A";"1993";NA;"na";NA
"NR";"B003";"I551-I553";"CH07";"A";"1992";NA;"na";NA
"NR";"B003";"I551-I553";"CH07";"A";"1991";NA;"na";NA
"NR";"B003";"I551-I553";"CH07";"A";"1990";NA;"na";NA
