"UNIT";"NA_ITEM";"GEO";"FREQ";"obsTime";"obsValue";"OBS_STATUS"
"EUR_HAB";"B6N";"EU28";"A";"2004";NA;"na"
"EUR_HAB";"B6N";"EU28";"A";"2003";NA;"na"
"EUR_HAB";"B6N";"EU28";"A";"2002";NA;"na"
"EUR_HAB";"B6N";"EU28";"A";"2001";NA;"na"
"EUR_HAB";"B6N";"EU28";"A";"2000";NA;"na"
"EUR_HAB";"B6N";"IT";"A";"2014";16600;NA
"EUR_HAB";"B6N";"IT";"A";"2013";16600;NA
"EUR_HAB";"B6N";"IT";"A";"2012";16600;NA
"EUR_HAB";"B6N";"IT";"A";"2011";17300;NA
"EUR_HAB";"B6N";"IT";"A";"2010";16900;NA
"EUR_HAB";"B6N";"IT";"A";"2009";17000;NA
"EUR_HAB";"B6N";"IT";"A";"2008";17600;NA
"EUR_HAB";"B6N";"IT";"A";"2007";17500;NA
"EUR_HAB";"B6N";"IT";"A";"2006";17000;NA
"EUR_HAB";"B6N";"IT";"A";"2005";16400;NA
"EUR_HAB";"B6N";"IT";"A";"2004";16100;NA
"EUR_HAB";"B6N";"IT";"A";"2003";15600;NA
"EUR_HAB";"B6N";"IT";"A";"2002";15200;NA
"EUR_HAB";"B6N";"IT";"A";"2001";14700;NA
"EUR_HAB";"B6N";"IT";"A";"2000";14000;NA
"EUR_HAB";"B6N";"ITC4";"A";"2014";20200;NA
"EUR_HAB";"B6N";"ITC4";"A";"2013";20400;NA
"EUR_HAB";"B6N";"ITC4";"A";"2012";20500;NA
"EUR_HAB";"B6N";"ITC4";"A";"2011";21300;NA
"EUR_HAB";"B6N";"ITC4";"A";"2010";20800;NA
"EUR_HAB";"B6N";"ITC4";"A";"2009";20900;NA
"EUR_HAB";"B6N";"ITC4";"A";"2008";21800;NA
"EUR_HAB";"B6N";"ITC4";"A";"2007";21500;NA
"EUR_HAB";"B6N";"ITC4";"A";"2006";20900;NA
"EUR_HAB";"B6N";"ITC4";"A";"2005";20200;NA
"EUR_HAB";"B6N";"ITC4";"A";"2004";19700;NA
"EUR_HAB";"B6N";"ITC4";"A";"2003";19000;NA
"EUR_HAB";"B6N";"ITC4";"A";"2002";18600;NA
"EUR_HAB";"B6N";"ITC4";"A";"2001";18100;NA
"EUR_HAB";"B6N";"ITC4";"A";"2000";17200;NA
"EUR_HAB";"B6N";"ITH";"A";"2014";18800;NA
"EUR_HAB";"B6N";"ITH";"A";"2013";19000;NA
"EUR_HAB";"B6N";"ITH";"A";"2012";19000;NA
"EUR_HAB";"B6N";"ITH";"A";"2011";19700;NA
"EUR_HAB";"B6N";"ITH";"A";"2010";19200;NA
"EUR_HAB";"B6N";"ITH";"A";"2009";19400;NA
"EUR_HAB";"B6N";"ITH";"A";"2008";20200;NA
"EUR_HAB";"B6N";"ITH";"A";"2007";20200;NA
"EUR_HAB";"B6N";"ITH";"A";"2006";19500;NA
"EUR_HAB";"B6N";"ITH";"A";"2005";18900;NA
"EUR_HAB";"B6N";"ITH";"A";"2004";18600;NA
"EUR_HAB";"B6N";"ITH";"A";"2003";18100;NA
"EUR_HAB";"B6N";"ITH";"A";"2002";17800;NA
"EUR_HAB";"B6N";"ITH";"A";"2001";17300;NA
"EUR_HAB";"B6N";"ITH";"A";"2000";16600;NA
"EUR_HAB";"B6N";"ITH1";"A";"2014";20900;NA
"EUR_HAB";"B6N";"ITH1";"A";"2013";21300;NA
"EUR_HAB";"B6N";"ITH1";"A";"2012";21300;NA
"EUR_HAB";"B6N";"ITH1";"A";"2011";21800;NA
"EUR_HAB";"B6N";"ITH1";"A";"2010";21400;NA
"EUR_HAB";"B6N";"ITH1";"A";"2009";21600;NA
"EUR_HAB";"B6N";"ITH1";"A";"2008";21700;NA
"EUR_HAB";"B6N";"ITH1";"A";"2007";21400;NA
"EUR_HAB";"B6N";"ITH1";"A";"2006";20700;NA
"EUR_HAB";"B6N";"ITH1";"A";"2005";20100;NA
"EUR_HAB";"B6N";"ITH1";"A";"2004";20000;NA
"EUR_HAB";"B6N";"ITH1";"A";"2003";19000;NA
"EUR_HAB";"B6N";"ITH1";"A";"2002";18900;NA
"EUR_HAB";"B6N";"ITH1";"A";"2001";18700;NA
"EUR_HAB";"B6N";"ITH1";"A";"2000";17600;NA
"EUR_HAB";"B6N";"ITH2";"A";"2014";18800;NA
"EUR_HAB";"B6N";"ITH2";"A";"2013";19400;NA
"EUR_HAB";"B6N";"ITH2";"A";"2012";19400;NA
"EUR_HAB";"B6N";"ITH2";"A";"2011";20100;NA
"EUR_HAB";"B6N";"ITH2";"A";"2010";19900;NA
"EUR_HAB";"B6N";"ITH2";"A";"2009";19800;NA
"EUR_HAB";"B6N";"ITH2";"A";"2008";20400;NA
"EUR_HAB";"B6N";"ITH2";"A";"2007";19900;NA
"EUR_HAB";"B6N";"ITH2";"A";"2006";19100;NA
"EUR_HAB";"B6N";"ITH2";"A";"2005";18600;NA
"EUR_HAB";"B6N";"ITH2";"A";"2004";18600;NA
"EUR_HAB";"B6N";"ITH2";"A";"2003";18400;NA
"EUR_HAB";"B6N";"ITH2";"A";"2002";18300;NA
"EUR_HAB";"B6N";"ITH2";"A";"2001";17500;NA
"EUR_HAB";"B6N";"ITH2";"A";"2000";17100;NA
"EUR_HAB";"B6N";"ITH3";"A";"2014";17700;NA
"EUR_HAB";"B6N";"ITH3";"A";"2013";17900;NA
"EUR_HAB";"B6N";"ITH3";"A";"2012";17800;NA
"EUR_HAB";"B6N";"ITH3";"A";"2011";18600;NA
"EUR_HAB";"B6N";"ITH3";"A";"2010";18100;NA
"EUR_HAB";"B6N";"ITH3";"A";"2009";18100;NA
"EUR_HAB";"B6N";"ITH3";"A";"2008";18800;NA
"EUR_HAB";"B6N";"ITH3";"A";"2007";18700;NA
"EUR_HAB";"B6N";"ITH3";"A";"2006";18200;NA
"EUR_HAB";"B6N";"ITH3";"A";"2005";17600;NA
"EUR_HAB";"B6N";"ITH3";"A";"2004";17300;NA
"EUR_HAB";"B6N";"ITH3";"A";"2003";16700;NA
"EUR_HAB";"B6N";"ITH3";"A";"2002";16300;NA
"EUR_HAB";"B6N";"ITH3";"A";"2001";15900;NA
"EUR_HAB";"B6N";"ITH3";"A";"2000";15300;NA
