"UNIT";"AGE";"SEX";"GEO";"FREQ";"obsTime";"obsValue";"OBS_STATUS";"OBS_FLAG"
"PC";"Y18-24";"T";"DE2";"A";"2005";11,2;NA;"b"
"PC";"Y18-24";"T";"DE2";"A";"2004";9,9;NA;NA
"PC";"Y18-24";"T";"DE2";"A";"2003";12,6;NA;"b"
"PC";"Y18-24";"T";"DE2";"A";"2002";11,9;NA;NA
"PC";"Y18-24";"T";"DE2";"A";"2001";11,5;NA;NA
"PC";"Y18-24";"T";"DE2";"A";"2000";12,8;NA;"u"
"PC";"Y18-24";"T";"EU27";"A";"2015";11;NA;NA
"PC";"Y18-24";"T";"EU27";"A";"2014";11,3;NA;"b"
"PC";"Y18-24";"T";"EU27";"A";"2013";12;NA;NA
"PC";"Y18-24";"T";"EU27";"A";"2012";12,8;NA;NA
"PC";"Y18-24";"T";"EU27";"A";"2011";13,5;NA;NA
"PC";"Y18-24";"T";"EU27";"A";"2010";14;NA;NA
"PC";"Y18-24";"T";"EU27";"A";"2009";14,3;NA;NA
"PC";"Y18-24";"T";"EU27";"A";"2008";14,8;NA;NA
"PC";"Y18-24";"T";"EU27";"A";"2007";15;NA;NA
"PC";"Y18-24";"T";"EU27";"A";"2006";15,4;NA;"b"
"PC";"Y18-24";"T";"EU27";"A";"2005";15,8;NA;NA
"PC";"Y18-24";"T";"EU27";"A";"2004";16,1;NA;NA
"PC";"Y18-24";"T";"EU27";"A";"2003";16,5;NA;"b"
"PC";"Y18-24";"T";"EU27";"A";"2002";17;NA;NA
"PC";"Y18-24";"T";"EU27";"A";"2001";17,2;NA;"e"
"PC";"Y18-24";"T";"EU27";"A";"2000";17,6;NA;"e"
"PC";"Y18-24";"T";"EU28";"A";"2015";11;NA;NA
"PC";"Y18-24";"T";"EU28";"A";"2014";11,2;NA;"b"
"PC";"Y18-24";"T";"EU28";"A";"2013";11,9;NA;NA
"PC";"Y18-24";"T";"EU28";"A";"2012";12,7;NA;NA
"PC";"Y18-24";"T";"EU28";"A";"2011";13,4;NA;NA
"PC";"Y18-24";"T";"EU28";"A";"2010";13,9;NA;NA
"PC";"Y18-24";"T";"EU28";"A";"2009";14,2;NA;NA
"PC";"Y18-24";"T";"EU28";"A";"2008";14,7;NA;NA
"PC";"Y18-24";"T";"EU28";"A";"2007";14,9;NA;NA
"PC";"Y18-24";"T";"EU28";"A";"2006";15,3;NA;"b"
"PC";"Y18-24";"T";"EU28";"A";"2005";15,7;NA;NA
"PC";"Y18-24";"T";"EU28";"A";"2004";16;NA;NA
"PC";"Y18-24";"T";"EU28";"A";"2003";16,4;NA;"b"
"PC";"Y18-24";"T";"EU28";"A";"2002";17;NA;NA
"PC";"Y18-24";"T";"EU28";"A";"2001";NA;"na";NA
"PC";"Y18-24";"T";"EU28";"A";"2000";NA;"na";NA
"PC";"Y18-24";"T";"IT";"A";"2015";14,7;NA;NA
"PC";"Y18-24";"T";"IT";"A";"2014";15;NA;"b"
