"ICD10";"UNIT";"AGE";"SEX";"GEO";"FREQ";"obsTime";"obsValue";"OBS_STATUS";"OBS_FLAG"
"V_Y85";"RT";"TOTAL";"T";"CH07";"A";"1998";10,5;NA;NA
"V_Y85";"RT";"TOTAL";"T";"CH07";"A";"1997";6,2;NA;NA
"V_Y85";"RT";"TOTAL";"T";"CH07";"A";"1996";9,5;NA;NA
"V_Y85";"RT";"TOTAL";"T";"CH07";"A";"1995";11,2;NA;NA
"V_Y85";"RT";"TOTAL";"T";"CH07";"A";"1994";NA;"na";NA
"V_Y85";"RT";"TOTAL";"T";"DE2";"A";"2010";5,8;NA;NA
"V_Y85";"RT";"TOTAL";"T";"DE2";"A";"2009";6,6;NA;NA
"V_Y85";"RT";"TOTAL";"T";"DE2";"A";"2008";6,5;NA;NA
"V_Y85";"RT";"TOTAL";"T";"DE2";"A";"2007";8,2;NA;NA
"V_Y85";"RT";"TOTAL";"T";"DE2";"A";"2006";7,7;NA;NA
"V_Y85";"RT";"TOTAL";"T";"DE2";"A";"2005";8;NA;NA
"V_Y85";"RT";"TOTAL";"T";"DE2";"A";"2004";9,1;NA;NA
"V_Y85";"RT";"TOTAL";"T";"DE2";"A";"2003";10,4;NA;NA
"V_Y85";"RT";"TOTAL";"T";"DE2";"A";"2002";10,5;NA;NA
"V_Y85";"RT";"TOTAL";"T";"DE2";"A";"2001";11,2;NA;NA
"V_Y85";"RT";"TOTAL";"T";"DE2";"A";"2000";11,6;NA;NA
"V_Y85";"RT";"TOTAL";"T";"DE2";"A";"1999";11,3;NA;NA
"V_Y85";"RT";"TOTAL";"T";"DE2";"A";"1998";11,5;NA;NA
"V_Y85";"RT";"TOTAL";"T";"DE2";"A";"1997";12,1;NA;NA
"V_Y85";"RT";"TOTAL";"T";"DE2";"A";"1996";12,5;NA;NA
"V_Y85";"RT";"TOTAL";"T";"DE2";"A";"1995";13,4;NA;NA
"V_Y85";"RT";"TOTAL";"T";"DE2";"A";"1994";14;NA;NA
"V_Y85";"RT";"TOTAL";"T";"EU28";"A";"2010";7;NA;"p"
"V_Y85";"RT";"TOTAL";"T";"EU28";"A";"2009";7,9;NA;NA
"V_Y85";"RT";"TOTAL";"T";"EU28";"A";"2008";8,9;NA;NA
"V_Y85";"RT";"TOTAL";"T";"EU28";"A";"2007";9,6;NA;NA
"V_Y85";"RT";"TOTAL";"T";"EU28";"A";"2006";9,7;NA;NA
"V_Y85";"RT";"TOTAL";"T";"EU28";"A";"2005";10,3;NA;"p"
"V_Y85";"RT";"TOTAL";"T";"EU28";"A";"2004";10,8;NA;"p"
"V_Y85";"RT";"TOTAL";"T";"EU28";"A";"2003";11,4;NA;NA
"V_Y85";"RT";"TOTAL";"T";"EU28";"A";"2002";12;NA;"p"
"V_Y85";"RT";"TOTAL";"T";"EU28";"A";"2001";12,3;NA;"p"
"V_Y85";"RT";"TOTAL";"T";"EU28";"A";"2000";12,5;NA;"p"
"V_Y85";"RT";"TOTAL";"T";"EU28";"A";"1999";11,3;NA;NA
"V_Y85";"RT";"TOTAL";"T";"EU28";"A";"1998";NA;"na";NA
"V_Y85";"RT";"TOTAL";"T";"EU28";"A";"1997";NA;"na";NA
"V_Y85";"RT";"TOTAL";"T";"EU28";"A";"1996";NA;"na";NA
"V_Y85";"RT";"TOTAL";"T";"EU28";"A";"1995";NA;"na";NA
"V_Y85";"RT";"TOTAL";"T";"EU28";"A";"1994";NA;"na";NA
"V_Y85";"RT";"TOTAL";"T";"IT";"A";"2010";7,6;NA;NA
"V_Y85";"RT";"TOTAL";"T";"IT";"A";"2009";8,1;NA;NA
"V_Y85";"RT";"TOTAL";"T";"IT";"A";"2008";8,9;NA;NA
"V_Y85";"RT";"TOTAL";"T";"IT";"A";"2007";9,8;NA;NA
"V_Y85";"RT";"TOTAL";"T";"IT";"A";"2006";10,4;NA;NA
"V_Y85";"RT";"TOTAL";"T";"IT";"A";"2005";NA;"na";NA
"V_Y85";"RT";"TOTAL";"T";"IT";"A";"2004";NA;"na";NA
"V_Y85";"RT";"TOTAL";"T";"IT";"A";"2003";11,8;NA;NA
"V_Y85";"RT";"TOTAL";"T";"IT";"A";"2002";12,8;NA;NA
"V_Y85";"RT";"TOTAL";"T";"IT";"A";"2001";13,5;NA;NA
"V_Y85";"RT";"TOTAL";"T";"IT";"A";"2000";13,2;NA;NA
"V_Y85";"RT";"TOTAL";"T";"IT";"A";"1999";14;NA;NA
"V_Y85";"RT";"TOTAL";"T";"IT";"A";"1998";14,6;NA;NA
"V_Y85";"RT";"TOTAL";"T";"IT";"A";"1997";14,2;NA;NA
"V_Y85";"RT";"TOTAL";"T";"IT";"A";"1996";13,6;NA;NA
"V_Y85";"RT";"TOTAL";"T";"IT";"A";"1995";14,6;NA;NA
"V_Y85";"RT";"TOTAL";"T";"IT";"A";"1994";15;NA;NA
"V_Y85";"RT";"TOTAL";"T";"ITC4";"A";"2010";6,2;NA;NA
"V_Y85";"RT";"TOTAL";"T";"ITC4";"A";"2009";7,1;NA;NA
"V_Y85";"RT";"TOTAL";"T";"ITC4";"A";"2008";8,3;NA;NA
"V_Y85";"RT";"TOTAL";"T";"ITC4";"A";"2007";9,1;NA;NA
"V_Y85";"RT";"TOTAL";"T";"ITC4";"A";"2006";9,3;NA;NA
"V_Y85";"RT";"TOTAL";"T";"ITC4";"A";"2005";NA;"na";NA
"V_Y85";"RT";"TOTAL";"T";"ITC4";"A";"2004";NA;"na";NA
"V_Y85";"RT";"TOTAL";"T";"ITC4";"A";"2003";11,3;NA;NA
"V_Y85";"RT";"TOTAL";"T";"ITC4";"A";"2002";11,9;NA;NA
"V_Y85";"RT";"TOTAL";"T";"ITC4";"A";"2001";13,7;NA;NA
"V_Y85";"RT";"TOTAL";"T";"ITC4";"A";"2000";12,7;NA;NA
"V_Y85";"RT";"TOTAL";"T";"ITC4";"A";"1999";14,6;NA;NA
"V_Y85";"RT";"TOTAL";"T";"ITC4";"A";"1998";14,9;NA;NA
"V_Y85";"RT";"TOTAL";"T";"ITC4";"A";"1997";14,1;NA;NA
"V_Y85";"RT";"TOTAL";"T";"ITC4";"A";"1996";14,7;NA;NA
"V_Y85";"RT";"TOTAL";"T";"ITC4";"A";"1995";15,3;NA;NA
"V_Y85";"RT";"TOTAL";"T";"ITC4";"A";"1994";15,3;NA;NA
"V_Y85";"RT";"TOTAL";"T";"ITH1";"A";"2010";8,9;NA;NA
"V_Y85";"RT";"TOTAL";"T";"ITH1";"A";"2009";9,6;NA;NA
"V_Y85";"RT";"TOTAL";"T";"ITH1";"A";"2008";9,7;NA;NA
"V_Y85";"RT";"TOTAL";"T";"ITH1";"A";"2007";7,5;NA;NA
"V_Y85";"RT";"TOTAL";"T";"ITH1";"A";"2006";9,3;NA;NA
"V_Y85";"RT";"TOTAL";"T";"ITH1";"A";"2005";NA;"na";NA
"V_Y85";"RT";"TOTAL";"T";"ITH1";"A";"2004";NA;"na";NA
"V_Y85";"RT";"TOTAL";"T";"ITH1";"A";"2003";13;NA;NA
"V_Y85";"RT";"TOTAL";"T";"ITH1";"A";"2002";14;NA;NA
"V_Y85";"RT";"TOTAL";"T";"ITH1";"A";"2001";14,7;NA;NA
"V_Y85";"RT";"TOTAL";"T";"ITH1";"A";"2000";16,1;NA;NA
"V_Y85";"RT";"TOTAL";"T";"ITH1";"A";"1999";13,3;NA;NA
"V_Y85";"RT";"TOTAL";"T";"ITH1";"A";"1998";17,6;NA;NA
"V_Y85";"RT";"TOTAL";"T";"ITH1";"A";"1997";NA;"na";NA
"V_Y85";"RT";"TOTAL";"T";"ITH1";"A";"1996";NA;"na";NA
"V_Y85";"RT";"TOTAL";"T";"ITH1";"A";"1995";NA;"na";NA
"V_Y85";"RT";"TOTAL";"T";"ITH1";"A";"1994";NA;"na";NA
"V_Y85";"RT";"TOTAL";"T";"ITH2";"A";"2010";6,3;NA;NA
"V_Y85";"RT";"TOTAL";"T";"ITH2";"A";"2009";11,1;NA;NA
"V_Y85";"RT";"TOTAL";"T";"ITH2";"A";"2008";9,5;NA;NA
"V_Y85";"RT";"TOTAL";"T";"ITH2";"A";"2007";8,2;NA;NA
"V_Y85";"RT";"TOTAL";"T";"ITH2";"A";"2006";8,1;NA;NA
"V_Y85";"RT";"TOTAL";"T";"ITH2";"A";"2005";NA;"na";NA
"V_Y85";"RT";"TOTAL";"T";"ITH2";"A";"2004";NA;"na";NA
"V_Y85";"RT";"TOTAL";"T";"ITH2";"A";"2003";10,9;NA;NA
"V_Y85";"RT";"TOTAL";"T";"ITH2";"A";"2002";11,7;NA;NA
"V_Y85";"RT";"TOTAL";"T";"ITH2";"A";"2001";11,6;NA;NA
"V_Y85";"RT";"TOTAL";"T";"ITH2";"A";"2000";9,9;NA;NA
"V_Y85";"RT";"TOTAL";"T";"ITH2";"A";"1999";11,7;NA;NA
"V_Y85";"RT";"TOTAL";"T";"ITH2";"A";"1998";19,8;NA;NA
"V_Y85";"RT";"TOTAL";"T";"ITH2";"A";"1997";NA;"na";NA
"V_Y85";"RT";"TOTAL";"T";"ITH2";"A";"1996";NA;"na";NA
"V_Y85";"RT";"TOTAL";"T";"ITH2";"A";"1995";NA;"na";NA
"V_Y85";"RT";"TOTAL";"T";"ITH2";"A";"1994";NA;"na";NA
"V_Y85";"RT";"TOTAL";"T";"ITH3";"A";"2010";8;NA;NA
"V_Y85";"RT";"TOTAL";"T";"ITH3";"A";"2009";7,4;NA;NA
"V_Y85";"RT";"TOTAL";"T";"ITH3";"A";"2008";9,7;NA;NA
"V_Y85";"RT";"TOTAL";"T";"ITH3";"A";"2007";10,8;NA;NA
"V_Y85";"RT";"TOTAL";"T";"ITH3";"A";"2006";10,7;NA;NA
"V_Y85";"RT";"TOTAL";"T";"ITH3";"A";"2005";NA;"na";NA
"V_Y85";"RT";"TOTAL";"T";"ITH3";"A";"2004";NA;"na";NA
"V_Y85";"RT";"TOTAL";"T";"ITH3";"A";"2003";13,7;NA;NA
"V_Y85";"RT";"TOTAL";"T";"ITH3";"A";"2002";14;NA;NA
"V_Y85";"RT";"TOTAL";"T";"ITH3";"A";"2001";16;NA;NA
"V_Y85";"RT";"TOTAL";"T";"ITH3";"A";"2000";16,1;NA;NA
"V_Y85";"RT";"TOTAL";"T";"ITH3";"A";"1999";18,5;NA;NA
"V_Y85";"RT";"TOTAL";"T";"ITH3";"A";"1998";19,2;NA;NA
"V_Y85";"RT";"TOTAL";"T";"ITH3";"A";"1997";20;NA;NA
"V_Y85";"RT";"TOTAL";"T";"ITH3";"A";"1996";18,3;NA;NA
"V_Y85";"RT";"TOTAL";"T";"ITH3";"A";"1995";19,6;NA;NA
"V_Y85";"RT";"TOTAL";"T";"ITH3";"A";"1994";20,4;NA;NA
